Time,Toe,Heel,SAVZ,SAVY,SAVX,SANZ,SANY,SANX,SACZ,SACY,SACX,AAVZ,AAVY,AAVX,AANZ,AANY,AANX,AACZ,AACY,AACX
,,,,,,,,,,,,,,,,,,,,
20607,0,12,-2.87307692,-0.35048077,0.56298077,-15.47211538,-0.58605769,0.14519231,-0.62507692,0.04276923,-0.02423077,5.40528846,-0.06826923,-0.06923077,-31.5081731,-0.0038461539,-0.139423077,-0.65084615,0.03338462,0.01238462
20647,0,13,-2.74807692,-0.22548077,0.06298077,-15.47211538,-0.58605769,0.14519231,-0.66507692,0.08276923,0.00576923,5.34278846,-0.06826923,0.11826923,-23.5081731,-0.0038461539,-0.139423077,-0.68084615,0.02338462,0.01238462
20683,1,13,-2.68557692,-0.16298077,0.25048077,-15.47211538,-0.58605769,0.14519231,0.63492308,0.04276923,-0.00423077,-2.59471154,0.11923077,-0.06923077,-23.5081731,-0.0038461539,-0.139423077,0.60915385,0.02338462,0.02238462
20722,0,10,5.62692308,-0.10048077,0.12548077,-23.47211538,-0.58605769,0.14519231,0.65492308,0.06276923,0.02576923,-2.46971154,0.11923077,0.11826923,-23.5081731,-0.0038461539,-0.139423077,-0.68084615,0.01338462,0.01238462
20749,0,14,-2.56057692,-0.10048077,-0.24951923,-23.47211538,-0.58605769,0.14519231,-0.64507692,0.06276923,0.00576923,-2.65721154,0.05673077,-0.06923077,-31.5081731,-0.0038461539,-0.139423077,-0.68084615,0.03338462,0.02238462
20772,0,12,-2.62307692,-0.16298077,0.18798077,-23.47211538,-0.58605769,0.14519231,-0.63507692,0.06276923,-0.00423077,-2.59471154,-0.00576923,-0.06923077,-31.5081731,-0.0038461539,-0.139423077,-0.68084615,0.04338462,0.01238462
20796,0,17,-2.62307692,-0.35048077,-0.06201923,-23.47211538,-0.58605769,0.14519231,-0.64507692,0.05276923,-0.01423077,-2.53221154,-0.06826923,-0.06923077,-31.5081731,-0.0038461539,-0.139423077,-0.69084615,0.02338462,0.02238462
20820,0,15,-2.56057692,-0.16298077,0.12548077,-23.47211538,-0.58605769,0.14519231,-0.63507692,0.04276923,-0.00423077,-2.78221154,-0.06826923,-0.13173077,-31.5081731,-0.0038461539,-0.139423077,-0.68084615,0.04338462,-0.00761538
20842,0,13,-2.49807692,-0.35048077,0.18798077,-23.47211538,-0.58605769,0.14519231,-0.63507692,0.01276923,-0.03423077,-2.59471154,-0.13076923,0.11826923,-31.5081731,-0.0038461539,-0.139423077,-0.68084615,0.03338462,0.02238462
