WALK,EARLY STRIKE,TM,TO ,EES,EM,EMS,STEPS
MaheshDown01,0.1818,0.0065,0.0747,0.4375,0.3442,0.2102,7
MaheshDown02,0.1552,0.0317,0.0697,0.4878,0.3104,0.2199,7
MaheshDown03,0.1296,0.0036,0.1080,0.4063,0.1980,0.2037,7
,,,,,,,
MaheshDown04,0.2023,0.0247,0.0642,0.5182,0.2912,0.2653,5
MaheshDown05,0.1871,0.0212,0.0388,0.4448,0.3001,0.2512,7
,,,,,,,
MaheshDown06,0.2344,0.0703,0.0938,0.4982,0.3048,0.1876,4
MaheshDown07,0.1878,0.0307,0.0613,0.5098,0.2492,0.2001,6
,,,,,,,
MaheshDown09,0.1447,0.0152,0.0343,0.4342,0.2399,0.1874,6
MaheshDown10,0.0985,0.0473,0.0670,0.4451,0.1576,0.1513,6
MaheshDown11,0.1177,0.0235,0.0784,0.4315,0.2236,0.1671,6
,,,,,,,
MaheshDown12,0.1117,0.0419,0.0512,0.3678,0.1862,0.1571,5
,,,,,,,
MaheshDown13,0.1186,0.0237,0.0332,0.4032,0.1708,0.1483,5
MaheshDown14,0.1108,0.0406,0.0738,0.3766,0.1698,0.1329,6
MaheshDown15,0.1707,0.0493,0.0455,0.4475,0.1100,0.1616,6
MaheshDown16,0.0871,0.0303,0.0303,0.3486,0.2008,0.1273,6
,,,,,,,
MaheshDown17,0.0845,0.0451,0.0225,0.3154,0.2535,0.1277,4
MaheshDown18,0.1027,0.0268,0.0491,0.3483,0.1429,0.1284,5
MaheshDown19,0.1111,0.0252,0.0707,0.3131,0.2020,0.1168,5
MaheshDown20,0.0597,0.0099,0.0398,0.2537,0.1642,0.1181,5
,,,,,,,
SaikatDown02,0.2024,0.0405,0.0540,0.4722,0.3103,0.2305,5
SaikatDown03,0.2460,0.0625,0.0312,0.5310,0.3943,0.2483,6
SaikatDown04,0.2154,0.0831,0.0227,0.4048,0.3854,0.2131,6
SaikatDown05,0.1336,0.0534,0.0420,0.3969,0.3893,0.1947,6
SaikatDown06,0.3079,0.0446,0.0446,0.4862,0.4011,0.2698,6
,,,,,,,
SaikatDown07,0.3186,0.0168,0.0559,0.4830,0.3689,0.2758,4
SaikatDown08,0.3190,0.0188,0.0676,0.5276,0.4203,0.2905,6
,,,,,,,
SaikatDown09,0.3331,0.0136,0.0454,0.5640,0.4134,0.2896,5
SaikatDown10,0.3304,0.0154,0.0615,0.5302,0.3573,0.2812,6
,,,,,,,
SaikatDown11,0.3394,0.0173,0.0633,0.5811,0.3567,0.2723,4
,,,,,,,
SaikatDown12,0.3241,0.0685,0.0548,0.6162,0.3834,0.2739,5
SaikatDown13,0.3046,0.0150,0.0714,0.6054,0.4211,0.2910,6
SaikatDown14,0.3422,0.0272,0.0311,0.6260,0.4083,0.2543,6
,,,,,,,
SaikatDown15,0.2657,0.0045,0.0811,0.4804,0.2883,0.2815,5
,,,,,,,
SaikatDown16,0.2912,0.0582,0.0243,0.5137,0.3883,0.2761,5
,,,,,,,
SaikatDown17,0.2930,0.1352,0.0856,0.4920,0.2749,0.2141,5
SaikatDown18,0.3158,0.0940,0.0451,0.5940,0.3722,0.2752,6
SaikatDown19,0.2628,0.0925,0.0185,0.5479,0.3036,0.2199,6
,,,,,,,
SaikatDown20,0.2946,0.0893,0.0268,0.5670,0.3705,0.2651,5
,,,,,,,
SaikatDown21,0.2319,0.0905,0.0170,0.4208,0.3337,0.2262,4
,,,,,,,
SaikatDown22,0.2064,0.0459,0.0573,0.4931,0.3497,0.2408,4
,,,,,,,
SaikatDown24,0.2986,0.0590,0.0295,0.5404,0.3687,0.2632,6
SaikatDown25,0.2122,0.0568,0.0265,0.4677,0.3297,0.2137,6
RaoDown01,0.0520,0.1597,0.0334,0.2859,0.0706,0.1225,6
RaoDown02,0.1136,0.1304,0.0084,0.3618,0.0631,0.1540,6
RaoDown03,0.0309,0.1082,0.0193,0.2666,0.0850,0.1136,6
RaoDown04,0.0659,0.1025,0.0073,0.2747,0.1062,0.1231,6
,,,,,,,
,,,,,,,
RaoDown08,0.0624,0.0514,0.0147,0.2645,0.1433,0.1234,6
RaoDown09,0.0378,0.1021,0.0189,0.2496,0.1134,0.1248,6
RaoDown10,0.0430,0.0860,0.0156,0.2774,0.1172,0.1149,6
AbhiravDown01,0.0808,0.1436,0.0898,0.3231,0.2424,0.1131,6
AbhiravDown02,0.1141,0.0913,0.0875,0.3726,0.3004,0.1551,6
AbhiravDown03,0.0853,0.0779,0.1038,0.3411,0.3300,0.1379,6
AbhiravDown04,0.0666,0.1074,0.1037,0.3073,0.2073,0.1200,6
AbhiravDown05,0.0441,0.1315,0.0686,0.2402,0.1544,0.1029,6
AbhiravDown06,0.0840,0.0896,0.0672,0.2912,0.1064,0.1310,6
,,,,,,,
AbhiravDown08,0.1019,0.0751,0.0697,0.2950,0.0751,0.1255,6
AbhiravDown09,0.0578,0.0945,0.1323,0.2363,0.1638,0.1142,6
,,,,,,,
AmitDown01,0.3630,0.0285,0.0356,0.5216,0.3594,0.2755,6
,,,,,,,
AmitDown02,0.3408,0.3039,0.2855,0.5564,0.4743,0.2821,5
,,,,,,,
,,,,,,,
AmitDown03,0.4536,0.0392,0.0168,0.5824,0.3472,0.3323,4
,,,,,,,
AmitDown04,0.2426,0.0114,0.0114,0.5723,0.3147,0.2632,4
,,,,,,,
AmitDown05,0.2384,0.0511,0.0114,0.5448,0.3405,0.2838,4
AmitDown06,0.3541,0.0716,0.0239,0.6445,0.2387,0.2912,6
AmitDown07,0.2742,0.0439,0.0395,0.5521,0.3203,0.2632,5
AmitDown08,0.3163,0.0750,0.0353,0.5811,0.4325,0.2841,5
AmitDown09,0.4682,0.0181,0.0136,0.7288,0.4169,0.3512,5
,,,,,,,
HarshDown01,0.1937,0.0988,0.0760,0.4102,0.2621,0.2120,6
HarshDown02,0.1169,0.0312,0.0312,0.3886,0.2883,0.1426,7
HarshDown03,0.0922,0.0332,0.0221,0.3318,0.2580,0.1659,6
HarshDown04,0.1070,0.0553,0.0221,0.3446,0.1881,0.1704,6
HarshDown05,0.1104,0.0368,0.0294,0.3721,0.2097,0.1854,6
HarshDown06,0.1040,0.0557,0.0186,0.4272,0.2081,0.1783,6
HarshDown07,0.0600,0.0375,0.0188,0.3715,0.1839,0.1666,6
HarshDown08,0.1051,0.0413,0.0150,0.3859,0.1876,0.1666,6
HarshDown09,0.0525,0.0563,0.0300,0.3215,0.1651,0.1643,6
HarshDown10,0.0442,0.0442,0.0184,0.3648,0.1990,0.1570,6
DeepakDown01,0.2092,0.0180,0.0252,0.5950,0.3174,0.2900,6
,,,,,,,
DeepakDown02,0.3261,0.0230,0.0345,0.6661,0.3675,0.3751,4
DeepakDown03,0.3062,0.0310,0.0388,0.6279,0.4108,0.3093,6
DeepakDown04,0.4768,0.0930,0.0388,0.8722,0.3644,0.4163,6
DeepakDown05,0.3438,0.0262,0.0262,0.6950,0.4446,0.3228,6
,,,,,,,
DeepakDown07,0.2901,0.0301,0.0226,0.6555,0.5048,0.6849,6
,,,,,,,
DeepakDown09,0.3003,0.0284,0.0406,0.6939,0.4504,0.3457,6
SanjibDown01,0.3993,0.1042,0.1505,0.7119,0.2489,0.2396,6
,,,,,,,
,,,,,,,
SanjibDown04,0.1959,0.0825,0.1650,0.4993,0.1907,0.1980,6
SanjibDown05,0.1698,0.0116,0.0232,0.3358,0.2432,0.0347,6
SanjibDown07,0.1257,0.0203,0.0122,0.3123,0.2514,0.0414,6
SanjibDown08,0.1690,0.0038,0.0413,0.3155,0.1841,0.0631,6
SanjibDown09,0.1549,0.0205,0.0164,0.2888,0.1890,0.0715,6
,,,,,,,
,0.1970,0.0556,0.0494,0.4538,0.2747,0.2104,502.0000
AmitDown04 1.827397095959596 1.8006919191919193 1.7816167929292932 1.4322694805194804 1.4687847222222221 1.5050274621212123 6
SanjibDown08 0.16903001464128845 0.0037562225475841877 0.04131844802342607 0.3155226939970718 0.1840549048316252 0.06310453879941436 6
MaheshDown09 0.1447314814814815 0.015234892787524367 0.034278508771929825 0.4341944444444445 0.2399495614035088 0.18738918128654972 6
MaheshDown09 0.17315534738485558 0.015056986729117877 0.045170960187353636 0.36701405152224825 0.27102576112412174 0.19762295081967213 3
MaheshDown09 0.22594736842105265 0.022594736842105265 0.05648684210526316 0.5309763157894737 0.29373157894736845 0.25983947368421056 2
MaheshDown09 0.22594736842105265 0.022594736842105265 0.05648684210526316 0.5309763157894737 0.29373157894736845 0.25983947368421056 2
MaheshDown09 0.22594736842105265 0.022594736842105265 0.05648684210526316 0.5309763157894737 0.29373157894736845 0.25983947368421056 2
MaheshDown09 0.1447314814814815 0.015234892787524367 0.034278508771929825 0.4341944444444445 0.2399495614035088 0.18738918128654972 6
MaheshDown09 0.14446413502109706 0.015206751054852322 0.03421518987341773 0.43339240506329113 0.23950632911392408 0.18704303797468355 6
MaheshDown09 0.1414227848101266 0.009124050632911393 0.022810126582278482 0.41514430379746836 0.2326632911392405 0.1682246835443038 5
MaheshDown08 0.1872313671696388 0.13855121170553272 0.1685082304526749 0.4381213991769548 0.23965614997713766 0.19546954732510288 6
MaheshDown08 0.18780157557853275 0.13897316592811423 0.1690214180206795 0.4394556868537666 0.24038601674052193 0.19606484490398818 6
MaheshDown08 0.1994948096885813 0.01108304498269896 0.0 0.5209031141868512 0.3103252595155709 0.2549100346020761 2
