Walk,HS,HM,HO,TO
,,,,
Walk12,0.0245401221,0.0467184394,0.0553244678,0.0362682622
Walk13,0.0285115792,0.032002793,0.0372396136,0.019706983
Walk14,0.027507485,0.0380009212,0.0391524643,0.0166973745
Walk15,0.0253463012,0.0429522081,0.0483968542,0.0181488203
Walk16,0.0254100254,0.1062601063,0.0490875491,0.0248933144
Walk17,0.0186721992,0.0848736326,0.0545512579,0.0255346313
Walk18,0.0204041974,0.0400609884,0.0651738468,0.0352775868
Walk19,0.0151678292,0.035953373,0.0567389167,0.039731286
,0.0231949673,0.0533528077,0.0507081213,0.0270322823
